Faculty Name,Faculty Link,Type,Program Name ,Program Url
Faculty of International Programs,http://horizoncampus.edu.lk/faculty-of-international-programs/,Undergraduate,BSc. Business & Management,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluidf240b272
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Diploma,CERTIFICATE & DIPLOMA,#
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Diploma,Diploma in Biotechnology – (Nilai),http://horizoncampus.edu.lk/diploma-in-biotechnology-nilai/
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Diploma,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/certificate-of-higher-education-in-common-law/
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Diploma,Diploma in Pre School Education,http://horizoncampus.edu.lk/diploma-in-pre-school-education/
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Certificate,CERTIFICATE & DIPLOMA,#
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Certificate,Diploma in Biotechnology – (Nilai),http://horizoncampus.edu.lk/diploma-in-biotechnology-nilai/
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Certificate,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/certificate-of-higher-education-in-common-law/
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Certificate,Diploma in Pre School Education,http://horizoncampus.edu.lk/diploma-in-pre-school-education/
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Diploma,CERTIFICATE & DIPLOMA,#
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Diploma,Diploma in Biotechnology – (Nilai),http://horizoncampus.edu.lk/diploma-in-biotechnology-nilai/
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Diploma,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/certificate-of-higher-education-in-common-law/
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Diploma,Diploma in Pre School Education,http://horizoncampus.edu.lk/diploma-in-pre-school-education/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
