Faculty Name,url,type,dName, ,dUrl 
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n7. Bachelor Information Communication Technology in Networking (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n8. Bachelor of Information Communication Technology inSoftware (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Technology,https://www.sjp.ac.lk/courses/undergraduate-courses/#tech,Undergraduate,('\n9. Bachelor of Information Communication Technology in Multimedia (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#tech
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('Bachelor of the Science of Engineering',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('Specializations –',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('1. Civil Engineering (04 Years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('2. Computer Engineering (04 Years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('3. Electrical and Electronic Engineering (04 Years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('\n4. Mechanical Engineering (04 Years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('\n',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('\n',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
Faculty of Engineering,https://www.sjp.ac.lk/courses/undergraduate-courses/#eng,Undergraduate,('\xa0',),https://www.sjp.ac.lk/courses/undergraduate-courses/#eng
 Humanities,http://graduate.sjp.ac.lk/humanities/,Postgraduate,('POST GRADUATE DIPLOMA IN WRITERSHIP AND COMMUNICATION ',),http://graduate.sjp.ac.lk/humanities/
 Social Sciences,http://graduate.sjp.ac.lk/life-sciences/,Postgraduate,('Forestry and Environmental Management',),['http://graduate.sjp.ac.lk/forestry-and-environmental-management/']
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Postgraduate Certificate in Applied Statistics',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Postgraduate Diploma in Applied Statistics',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('PG Diploma in Industrial Mathematics',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('PG Diploma in\xa0\xa0 Industrial Analytical Chemistry',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Computer Science',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Master in Applied Statistics – Plan A, By research',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Master in Applied Statistics – Plan B, By coursework',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Master in Industrial Mathematics',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Master in Industrial Analytical Chemistry',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Computer Science',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Polymer Science and Technology',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Chemistry',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Mathematics',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Physics',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Statistics and Computer Science',),http://graduate.sjp.ac.lk/physical-sciences/
 Life Sciences,http://graduate.sjp.ac.lk/physical-sciences/,Postgraduate,('Information System',),http://graduate.sjp.ac.lk/physical-sciences/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('MBA/MSc in Management Programs.',),http://graduate.sjp.ac.lk/management-and-commerce/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('Master’s Degree in Entrepreneurship',),http://graduate.sjp.ac.lk/management-and-commerce/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('M.Sc./Postgraduate Diploma in Applied Finance.',),http://graduate.sjp.ac.lk/management-and-commerce/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('M.Sc./Postgraduate Diploma in Real Estate Management & Valuation (REMV).',),http://graduate.sjp.ac.lk/management-and-commerce/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('Master of Professional Accounting (MPAcc) Degree Programe',),http://graduate.sjp.ac.lk/management-and-commerce/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('Postgraduate Diploma in Marketing Management.',),http://graduate.sjp.ac.lk/management-and-commerce/
 Physical Sciences,http://graduate.sjp.ac.lk/management-and-commerce/,Postgraduate,('Postgraduate Diploma in\xa0Entrepreneurial Business Management (PGD-EBM).',),http://graduate.sjp.ac.lk/management-and-commerce/
 Management Studies & Commerce,http://graduate.sjp.ac.lk/medical-sciences/,Postgraduate,('5.1.1 Postgraduate Diploma in Monitoring and \xa0Evaluation',),http://graduate.sjp.ac.lk/medical-sciences/
Humanities and Social Sciences,http://external.sjp.ac.lk/degree/bachelor-of-humanities-and-social-sciences-general-external-degree/,External,('Bachelor of Humanities and Social Sciences (General) External Degree',),http://external.sjp.ac.lk/degree/bachelor-of-humanities-and-social-sciences-general-external-degree/
Business Administration,http://external.sjp.ac.lk/degree/bachelor-of-science-business-administration-general-external-degree-programme/,External,('Bachelor of Science Business Administration (General) External Degree Programme',),http://external.sjp.ac.lk/degree/bachelor-of-science-business-administration-general-external-degree-programme/
Bachelor of Commerce,http://external.sjp.ac.lk/degree/bachelor-of-commerce-general-external-degree/,External,('Bachelor of Commerce (General) External Degree',),http://external.sjp.ac.lk/degree/bachelor-of-commerce-general-external-degree/
Management (Public),http://external.sjp.ac.lk/degree/bachelor-of-science-management-public-general-external-degree/,External,('Bachelor of Science Management (Public) General (External) Degree',),http://external.sjp.ac.lk/degree/bachelor-of-science-management-public-general-external-degree/
Environment and  Development  Studies,http://external.sjp.ac.lk/degree/bachelor-of-social-sciences-general-external-degree-in-environment-and-development-studies/,External,('Bachelor of Social Sciences (General) External Degree in Environment and Development Studies',),http://external.sjp.ac.lk/degree/bachelor-of-social-sciences-general-external-degree-in-environment-and-development-studies/
Bachelor Of Arts In English,http://external.sjp.ac.lk/degree/bachelor-of-arts-general-external-degree-in-english/,External,('Bachelor Of Arts In English (General) External Degree',),http://external.sjp.ac.lk/degree/bachelor-of-arts-general-external-degree-in-english/
