web-scraper-order,web-scraper-start-url,more_courses_programs_degrees_uom,more_courses_programs_degrees_uom-href
1533791571-861,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Tropical Architecture (PhD),http://www.mrt.ac.lk/foa/
1533791571-838,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Landscape Architecture (PhD),http://www.mrt.ac.lk/foa/
1533791571-853,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"Open and Distance Learning (MPhil, PhD)",http://www.itfac.mrt.ac.lk/Research/index.htm
1533791571-848,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,MSc. in Artificial Intelligence,http://www.mrt.ac.lk/
1533791571-844,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,M.Sc. in Town & Country Planning,http://www.mrt.ac.lk/tcp/courses_msc.html
1533791571-827,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Facilities Management (PhD),http://www.mrt.ac.lk/foa/
1533791571-851,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"Natural Language Processing (MPhil, PhD)",http://www.itfac.mrt.ac.lk/Research/index.htm
1533791571-821,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"E-learning (MPhil, PhD)",http://www.itfac.mrt.ac.lk/Research/index.htm
1533791571-856,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Remote Sensing and Spatial Information Systems in Urban and Regional Planning (PhD),http://www.mrt.ac.lk/foa/
1533791571-857,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Sensitive Artificial Lighting (PhD),http://www.mrt.ac.lk/foa/
1533791571-830,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Honours Degree of Bachelor of Architecture,http://www.mrt.ac.lk/archi/programs_ar.html
1533791571-835,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Housing & Society (PhD),http://www.mrt.ac.lk/foa/
1533791571-834,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Honours Degree of Bachelor of Science in Town & Country Planning,http://www.mrt.ac.lk/tcp/courses_bsc.html
1533791571-854,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Postgraduate Diploma in Project Management,http://www.mrt.ac.lk/foa/
1533791571-842,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,M.Sc in Landscape Design,http://www.mrt.ac.lk/archi/programs_la.html
1533791571-845,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Master of Science in Urban Design,http://www.mrt.ac.lk/archi/ud/index.html
1533791571-819,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Disaster Management (PhD),http://www.mrt.ac.lk/foa/
